,id,name_long,name,lat,lon,elev,lat_1999,lon_1999,elev_1999,elev_std_1999,date_1999
0,1,Swiss Camp,SWC,69.5732,-49.2952,1149,,,,,
1,2,Crawford Pt. 1,CP1,69.8819,-46.9736,2022,69.8797157275,-46.986758491,1994,27,1999-05-25
2,3,NASA-U,NAU,73.8333,-49.4953,2368,73.841888993,-49.498250747,2382,96,1999-05-13
3,4,GITS,GIT,77.1433,-61.095,1925,77.137820952,-61.0410620505,1889,54,1999-04-30
4,5,Humboldt,HUM,78.5266,-56.8305,1995,,,,,
5,6,Summit,SUM,72.5794,-38.5042,3254,72.57975117,-38.504471984,3256,40,1999-05-09
6,7,Tunu-N,TUN,78.0168,-33.9939,2300,,,,,
7,8,DYE-2,DY2,66.481,-46.2799,2100,,,,,
8,9,JAR1,JR1,69.4984,-49.6816,962,,,,,
9,10,Saddle,SDL,66.0006,-44.5014,2460,,,,,
10,11,South Dome,SDM,63.1489,-44.8167,2850,63.1489,-44.81718,2934,51,1999-04-23
11,12,NASA-E,NAE,75.0,-29.9997,2631,,,,,
12,13,Crawford Pt. 2,CP2,69.913333,-46.854722,1990,69.879733521,-46.986549141,2023,35,1999-05-26
13,14,NGRIP,NGP,75.0998,-42.3326,2918,,,,,
14,15,NASA-SE,NSE,66.4794,-42.5003,2360,66.47977468,-42.500371733,2410,134,1999-04-17
15,16,KAR,KAR,69.699444,-33.005833,2579,69.699483688,-33.000102125,2511,33,1999-05-17
16,17,JAR2,JR2,69.42,-50.0575,568,,,,,
17,18,KULU,KUL,65.758333,-39.601667,878,65.758504156,-39.601725774,982,91,1999-06-19
18,19,JAR3,JR3,69.3951,-50.31,323,,,,,
19,21,Petermann Gl.,PTG,80.5897,-59.9622,825,,,,,
20,22,Petermann ELA,PTE,80.0839,-58.0672,741,,,,,
21,23,NEEM,NEM,77.45,-51.06,2450,,,,,
22,24,East Grip,EGP,75.6248,-35.9729,2661,,,,,
