site,year,month,day,abc,SH1,SH2,Wz1,Wz2,THz1,THz2,ErrorW,ErrorTH
CP1,1995,5,23,,2.864,3.571,2.193,3.489,1.944,3.033,0.053,0.153
CP1,1998,5,31,a post,1.337,3.313,1.979,2.642,1.475,2.01,0.087,0.04
CP1,2002,5,24,-2,2.38,5.109,1.939,3.273,2.154,3.56,0.021,0.051
CP1,2005,5,4, post,4.735,6.246,3.7,5.028,4.192,5.707,0.12,0.068
CP1,2005,5,4, pre,0.755,,0.614,1.929,0.494,1.584,0.161,0.063
DY2,1996,5,28,a,2.682,2.686,2.174,3.703,2.276,3.72,0.098,0.014
DY2,1997,4,18,a,1.656,1.825,1.354,2.89,1.327,2.813,0.012,0.037
DY2,1998,4,27,a pre1,1.212,2.382,0.823,2.063,0.903,2.229,0.07,0.016
DY2,1998,4,27,b pre2,0.607,0.813,0.565,1.764,0.566,1.699,0.099,0.032
DY2,1998,4,29,a post,1.765,3.996,1.994,3.154,1.426,2.548,0.011,0.026
DY2,1998,4,29,b post,2.017,3.207,1.686,2.799,1.56,2.678,0.019,0.024
DY2,1999,4,17,a pre,1.146,2.58,0.987,2.083,0.823,1.985,0.053,0.011
DY2,2002,5,24,post,,2.528,1.843,3.162,,,0.25,
DY2,2002,5,24,pre,,2.552,0.702,1.89,0.564,1.741,0.01,0.02
DY2,2003,5,9,a post,4.667,,4.183,5.388,4.224,5.388,0.042,0.0
DY2,2003,5,9,a pre,1.385,1.79,1.289,2.45,1.183,2.195,0.096,0.053
DY2,2005,5,26,a straightened,1.717,1.9,1.853,3.115,1.529,2.579,0.154,0.057
DY2,2006,5,7,a post,4.176,4.945,3.766,4.858,3.816,4.883,0.012,0.012
DY2,2006,5,7,a pre,0.986,1.304,0.953,2.254,0.747,1.836,0.163,0.049
DY2,2006,5,7,b post,3.348,,4.126,5.359,3.257,4.293,0.115,0.081
DY2,2006,5,7,b pre,1.175,2.047,1.036,2.163,0.937,2.004,0.014,0.046
DY2,2007,4,25,a,2.906,,3.324,4.534,2.776,3.821,0.096,0.068
DY2,2007,4,25,b,3.945,3.878,3.126,4.256,3.38,4.499,0.0,0.011
DY2,2007,4,25,c,3.834,3.254,3.183,4.326,3.218,4.304,0.044,0.013
DY2,2007,4,25,d,5.148,6.056,3.281,4.551,3.959,5.463,0.0,0.234
DY2,2008,5,3,a,2.865,2.052,2.865,4.053,1.625,2.627,0.208,0.395
DY2,2008,5,3,b,2.549,3.409,2.817,3.963,2.196,3.17,0.134,0.038
DY2,2008,5,3,c,2.381,3.049,2.843,4.003,1.792,2.678,0.138,0.136
DY2,2009,5,16, 12 58 29,1.951,,1.733,2.99,1.584,2.663,0.119,0.059
DY2,2010,4,30, 20 20 00,,1.929,1.276,2.519,,,0.189,
DY2,2011,5,29, 15 13 18,3.563,4.198,3.627,4.781,3.255,4.247,0.113,0.049
DY2,2013,5,22, 10 14 09,4.167,4.392,4.539,5.84,3.918,5.09,0.098,0.032
DY2,2014,5,25, 00 21 25,3.338,,3.308,4.444,3.115,4.139,0.07,0.041
DY2,2015,5,26, 19 58 10,2.621,1.703,2.759,4.082,,,0.163,
DY2,2016,5,19, 22 01 37,1.955,2.646,1.852,3.011,1.575,2.534,0.126,0.075
DY2,2017,5,22, 19 01 15,1.523,1.975,1.375,2.605,,,0.205,
DY2,2018,5,20, 16 00 20,2.861,3.404,1.907,3.172,1.741,3.061,0.044,0.012
DY2,2019,5,17, 23 43 41,2.188,3.034,2.475,3.609,,,0.113,
